  3kzm|A|2014-08-19|K|+3.1;
  3kbc|A|2014-08-19|S|+3.1;
  4kjg|A|2014-08-19|S|+3.1;
  4lqy|A|2014-08-19|S|+3.1;
  4kay|A|2014-08-19|S|+3.1;
  4jwg|A|2014-08-19|K|+3.1;
  4gue|A|2014-08-19|S|+3.1;
  4ain|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4doj|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4fdj|A|2014-08-19|S|+3.1;
  4el9|A|2014-08-19|S|+3.1;
  3v8f|A|2014-08-19|S|+3.1;
  3v8g|A|2014-08-19|S|+3.1;
  3tv9|A|2014-08-19|S|+3.1;
  4izm|A|2014-08-19|S|+3.1, +3.1;
  4gtx|A|2014-08-19|S|+3.1;
  4gty|A|2014-08-19|S|+3.1;
  4gtz|A|2014-08-19|S|+3.1;
  3s7p|A|2014-08-18|K|4.1, 4.1;
  3s7n|A|2014-08-18|K|4.1, 4.1;
  3t5u|A|2014-08-18|K|+3.1;
  3t5z|A|2014-08-18|K|+3.1;
  3t82|A|2014-08-18|K|+3.1;
